period_mode,period_key,start,end,gas_name,total_SL,avg_slpm,min_slpm,max_slpm,total_minutes,logs_count,rows_used,report_file,updated_at
Monthly,2026-02,2026-02-01 00:00:00,2026-03-01 00:00:00,Argon,565.9195043957627,11.79818285745162,11.245067219794414,12.361092451276493,47.96666666666667,1,1440,argon_monthly_2026-02.json,2026-02-25 10:48:42
Monthly,2024-11,2024-11-01 00:00:00,2024-12-01 00:00:00,Argon,1164.7724698464694,12.209355029837205,0.0,26.949599385261536,95.4,2,2864,argon_monthly_2024-11.json,2026-02-25 10:48:42
