fault_id,fault_ts,fault_component,fault_title,fault_description,fault_severity,fault_actor,fault_source_file,fault_related_draw
1770830592079,2026-02-11 19:23:12,Furance,crash at 2000,Pyro failure was the reason for crash. clean fix it,medium,,,
1771052019911,2026-02-14 08:53:39,Furance,Bad rise,stop in the tower,critical,operator,,
