Parameter Name,Value,Units
Zone 1 | Pf Process Position | Min,30.7843017578125,
Zone 1 | Poly Major Value | Avg,0.0,
Zone 1 | Poly Major Value | Max,0.0,
Zone 1 | Poly Major Value | Min,0.0,
Zone 1 | Poly Minor Value | Avg,0.941979467868805,
Zone 1 | Poly Minor Value | Max,0.941979467868805,
Zone 1 | Poly Minor Value | Min,0.941979467868805,
Zone 1 | Poly X Diameter | Avg,0.0,
Zone 1 | Poly X Diameter | Max,0.0,
Zone 1 | Poly X Diameter | Min,0.0,
Zone 1 | Poly Y Diameter | Avg,0.0,
Zone 1 | Poly Y Diameter | Max,0.0,
Zone 1 | Poly Y Diameter | Min,0.0,
Zone 1 | Preform Speed Actual | Avg,2.6185257145336696,
Zone 1 | Preform Speed Actual | Max,4.39611434936523,
Zone 1 | Preform Speed Actual | Min,1.08445715904236,
Zone 1 | Tension N | Avg,23.767889295305526,
Zone 1 | Tension N | Max,59.4157829284668,
Zone 1 | Tension N | Min,-14.1413383483887,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Max,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | UV 1 Intensity | Avg,0.0,
Zone 1 | UV 1 Intensity | Max,0.0,
Zone 1 | UV 1 Intensity | Min,0.0,
Zone 1 | UV 2 Intensity | Avg,0.0,
Zone 1 | UV 2 Intensity | Max,0.0,
Zone 1 | UV 2 Intensity | Min,0.0,
Zone 1 | UV1 Status | Avg,4.0,
Zone 1 | UV1 Status | Max,4.0,
Zone 1 | UV1 Status | Min,4.0,
Zone 1 | UV2 Status | Avg,4.0,
Zone 1 | UV2 Status | Max,4.0,
Zone 1 | UV2 Status | Min,4.0,
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,BN1,
Fiber Length | End (log end),0.47374239563942,km
Zone 1 | Fiber Length | Min,0.0519980005919933,km
Zone 1 | Fiber Length | Max,0.232039600610733,km
,,
—,—,
CUT/SAVE Plan Source,P0testcsv3F_1.csv,
AUTO Plan Mode,CUT/SAVE from spool end (0 at log end),
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),0.47374239563942,km
Fiber Length Min (log),0.0,km
Fiber Length Max (log),0.47374239563942,km
T&M Coordinate System,km_from_end = (L_end - FibreLength),
Good Zones Order,Ordered from spool end → toward start,
Good Zone 1 (km from end) Start,0.241702795028687,km
Good Zone 1 (km from end) End,0.4217443950474267,km
Good Zone 1 Length,0.1800416000187397,km
Good Zone 1 Fibre Length Min,0.0519980005919933,km
Good Zone 1 Fibre Length Max,0.232039600610733,km
T&M Step 1 Action,CUT,
T&M Step 1 Length,0.241702795028687,km
T&M Step 2 Action,SAVE,
T&M Step 2 Length,0.1800416000187397,km
T&M Step 2 Zone,Good Zone 1,
T&M Step 2 Fibre Length Min,0.0519980005919933,km
T&M Step 2 Fibre Length Max,0.232039600610733,km
T&M Step 3 Action,CUT,
T&M Step 3 Length,0.051998000591993276,km
Total Saved Length,0.1800416000187397,km
Total Cut Length,0.2937007956206803,km
Preform Length After Draw,0.0,cm
Done Description,TEST for the massage,
Done Timestamp,2026-02-24 12:46:01,
