event_ts,event,activity_type,title,actor,source,meta_json
2026-03-10 15:53:21,start,maintenance,Maintenance Start | 63mm Furnace System — Monthly: inspect bottom doors for distortion/damage; replace if needed,,maintenance_execute_workspace,"{""task_id"": ""FUR-MNT-006"", ""component"": ""63mm Furnace System"", ""task"": ""Monthly: inspect bottom doors for distortion/damage; replace if needed"", ""parts_status"": ""Missing: Furnace bottom door set"", ""safety_access"": """", ""safety_no_entry"": false}"
2026-03-11 09:36:27,start,maintenance,Maintenance Start | 63mm Furnace System — Monthly: inspect bottom doors for distortion/damage; replace if needed,operator,maintenance_execute_workspace,"{""task_id"": ""FUR-MNT-006"", ""component"": ""63mm Furnace System"", ""task"": ""Monthly: inspect bottom doors for distortion/damage; replace if needed"", ""parts_status"": ""Missing: Furnace bottom door set"", ""safety_access"": """", ""safety_no_entry"": false}"
