wait_id,wait_ts,maintenance_component,maintenance_task,maintenance_task_id,maintenance_source_file,requested_part_name,requested_part_plan_json,requested_project_name,requested_company,wait_reason,actor,resolved_ts,resolution_note
1775291888697,2026-04-04 11:38:08,63mm Furnace System,Every 3 months OR 1500 operating hours: inspect graphite insulation/radiation shield; replace if needed,FUR-MNT-008,Furnace63_Maintenance_Tracker_Template.xlsx,Graphite set / insulation parts x2,"{""Graphite set / insulation parts"": 2}",,SG,Warn down,operator,,
1775292184003,2026-04-04 11:43:04,63mm Furnace System,"On-condition: inspect/replace bottom sleeve top cap when eroded (e.g., length reduction >3 mm)",FUR-MNT-015,Furnace63_Maintenance_Tracker_Template.xlsx,Bottom sleeve top cap x1,"{""Bottom sleeve top cap"": 1}",,SG,,operator,,
